line_number,raw_date,corrected_date,date,year_correction_applied,lift,lift_name,weight,reps,failed,estimated_1rm,raw
636,2022-07-12,2022-07-12,2022-07-12,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
637,2022-07-12,2022-07-12,2022-07-12,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
638,2022-07-12,2022-07-12,2022-07-12,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
639,2022-07-12,2022-07-12,2022-07-12,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
649,2022-07-14,2022-07-14,2022-07-14,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
650,2022-07-14,2022-07-14,2022-07-14,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
651,2022-07-14,2022-07-14,2022-07-14,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
652,2022-07-14,2022-07-14,2022-07-14,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
653,2022-07-14,2022-07-14,2022-07-14,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
654,2022-07-14,2022-07-14,2022-07-14,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
655,2022-07-14,2022-07-14,2022-07-14,False,bench,벤치프레스,100.0,4,False,113.33333333333333,100 * 4
656,2022-07-14,2022-07-14,2022-07-14,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
673,2022-07-16,2022-07-16,2022-07-16,False,squat,스쿼트,60.0,5,False,70.0,60 * 5
674,2022-07-16,2022-07-16,2022-07-16,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
675,2022-07-16,2022-07-16,2022-07-16,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
676,2022-07-16,2022-07-16,2022-07-16,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
677,2022-07-16,2022-07-16,2022-07-16,False,squat,스쿼트,90.0,5,False,105.0,90 * 5
678,2022-07-16,2022-07-16,2022-07-16,False,squat,스쿼트,90.0,5,False,105.0,90 * 5
679,2022-07-16,2022-07-16,2022-07-16,False,squat,스쿼트,90.0,5,False,105.0,90 * 5
680,2022-07-16,2022-07-16,2022-07-16,False,squat,스쿼트,90.0,5,False,105.0,90 * 5
681,2022-07-16,2022-07-16,2022-07-16,False,squat,스쿼트,90.0,5,False,105.0,90 * 5
687,2022-07-18,2022-07-18,2022-07-18,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
688,2022-07-18,2022-07-18,2022-07-18,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
689,2022-07-18,2022-07-18,2022-07-18,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
690,2022-07-18,2022-07-18,2022-07-18,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
691,2022-07-18,2022-07-18,2022-07-18,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
692,2022-07-18,2022-07-18,2022-07-18,False,bench,벤치프레스,100.0,4,False,113.33333333333333,100 * 4
