date,lift,lift_name,top_weight,best_estimated_1rm,total_volume,total_sets
2024-07-10,squat,스쿼트,160.0,170.66666666666666,1040.0,5
2024-07-12,deadlift,데드리프트,220.0,227.33333333333334,1240.0,5
2024-07-15,bench,벤치프레스,130.0,140.0,1990.0,6
2024-07-16,deadlift,데드리프트,220.0,227.33333333333334,1240.0,5
2024-07-22,bench,벤치프레스,130.0,136.0,1870.0,6
2024-07-22,squat,스쿼트,140.0,144.66666666666669,140.0,1
2024-07-23,deadlift,데드리프트,220.0,227.33333333333334,1240.0,5
2024-07-24,squat,스쿼트,150.0,155.00000000000003,1260.0,4
2024-07-25,bench,벤치프레스,120.0,132.0,1260.0,4
2024-07-26,deadlift,데드리프트,220.0,227.33333333333334,1240.0,5
2024-07-27,squat,스쿼트,150.0,155.00000000000003,1120.0,4
2024-07-29,bench,벤치프레스,130.0,136.0,1510.0,5
2024-07-30,deadlift,데드리프트,220.0,227.33333333333334,1240.0,5
2024-08-02,deadlift,데드리프트,220.0,227.33333333333334,1240.0,5
2024-08-03,squat,스쿼트,150.0,163.33333333333334,1950.0,4
2024-08-05,bench,벤치프레스,120.0,132.0,2040.0,6
2024-08-06,deadlift,데드리프트,220.0,227.33333333333334,1240.0,5
2024-08-07,bench,벤치프레스,120.0,128.0,1575.0,5
2024-08-08,squat,스쿼트,150.0,160.0,1670.0,4
2024-08-10,squat,스쿼트,160.0,165.33333333333334,1100.0,7
2024-08-12,bench,벤치프레스,120.0,132.0,1620.0,5
2024-08-13,deadlift,데드리프트,220.0,227.33333333333334,1240.0,5
2024-08-16,deadlift,데드리프트,220.0,227.33333333333334,1240.0,5
2024-08-22,bench,벤치프레스,130.0,136.0,1275.0,5
2024-08-22,squat,스쿼트,160.0,165.33333333333334,800.0,6
2024-08-24,deadlift,데드리프트,200.0,206.66666666666669,1020.0,4
2024-08-24,squat,스쿼트,150.0,155.00000000000003,710.0,4
2024-08-28,bench,벤치프레스,120.0,124.00000000000001,220.0,2
2024-08-28,deadlift,데드리프트,200.0,206.66666666666669,1020.0,4
2024-08-28,squat,스쿼트,150.0,155.00000000000003,640.0,5
2024-08-29,bench,벤치프레스,120.0,124.00000000000001,980.0,4
2024-09-02,bench,벤치프레스,120.0,132.0,1935.0,6
2024-09-03,deadlift,데드리프트,200.0,206.66666666666669,1020.0,4
2024-09-04,squat,스쿼트,150.0,155.00000000000003,840.0,5
2024-09-05,bench,벤치프레스,120.0,134.16666666666669,1475.0,4
2024-09-07,deadlift,데드리프트,200.0,206.66666666666669,1020.0,4
2024-09-10,bench,벤치프레스,120.0,128.0,540.0,2
