line_number,raw_date,corrected_date,date,month,lift,lift_name,weight,reps,sets,failed,estimated_1rm,raw,year_correction_applied
674,2022-07-16,2022-07-16,2022-07-16,2022-07,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
675,2022-07-16,2022-07-16,2022-07-16,2022-07,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
676,2022-07-16,2022-07-16,2022-07-16,2022-07,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
677,2022-07-16,2022-07-16,2022-07-16,2022-07,squat,스쿼트,90.0,5,1,False,105.0,90 * 5,False
678,2022-07-16,2022-07-16,2022-07-16,2022-07,squat,스쿼트,90.0,5,1,False,105.0,90 * 5,False
679,2022-07-16,2022-07-16,2022-07-16,2022-07,squat,스쿼트,90.0,5,1,False,105.0,90 * 5,False
680,2022-07-16,2022-07-16,2022-07-16,2022-07,squat,스쿼트,90.0,5,1,False,105.0,90 * 5,False
681,2022-07-16,2022-07-16,2022-07-16,2022-07,squat,스쿼트,90.0,5,1,False,105.0,90 * 5,False
687,2022-07-18,2022-07-18,2022-07-18,2022-07,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
688,2022-07-18,2022-07-18,2022-07-18,2022-07,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
689,2022-07-18,2022-07-18,2022-07-18,2022-07,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
690,2022-07-18,2022-07-18,2022-07-18,2022-07,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
691,2022-07-18,2022-07-18,2022-07-18,2022-07,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
692,2022-07-18,2022-07-18,2022-07-18,2022-07,bench,벤치프레스,100.0,4,1,False,113.33333333333333,100 * 4,False
693,2022-07-18,2022-07-18,2022-07-18,2022-07,bench,벤치프레스,100.0,3,1,False,110.00000000000001,100 * 3,False
694,2022-07-18,2022-07-18,2022-07-18,2022-07,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
700,2022-07-21,2022-07-21,2022-07-21,2022-07,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
